Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Tahltan,Critically endangered,60,57.8451,-129.9745,1,Canada
Tembé,Severely endangered,60,-2.6467,-46.7248,1,Brazil
Mosimo,Severely endangered,58,-4.9473,145.5551,1,Papua New Guinea
Tapayuna,Severely endangered,58,-10.5559,-53.0639,1,Brazil
Bepour,Severely endangered,57,-4.586,145.4184,1,Papua New Guinea
Faita,Severely endangered,57,-5.657,145.5001,1,Papua New Guinea
Teribe (Costa Rica),Critically endangered,57,9.0593,-83.2876,1,Costa Rica
Kiliwa,Critically endangered,56,31.25,-115.6166,1,Mexico
Moere,Severely endangered,56,-4.6038,145.437,1,Papua New Guinea
Baure,Critically endangered,55,-13.1008,-64.5007,1,Bolivia (Plurinational State of)
Southern Haida,Critically endangered,55,53.2697,-131.9861,1,Canada
Tlingit (Canada),Critically endangered,55,60.171,-132.7395,1,Canada
Upper Tanana (United States of America),Critically endangered,55,62.6867,-141.2182,1,United States of America
Zapotec of Asunción Tlacolulita,Critically endangered,53,16.3,-95.7166,1,Mexico
Trumai,Critically endangered,51,-11.8807,-53.6009,1,Brazil
Arabela,Severely endangered,50,-1.5818,-75.3881,1,Peru
Arha,Critically endangered,50,-21.3047,165.0146,1,New Caledonia (France)
Banjima,Severely endangered,50,-22.289,119.3774,1,Australia
Bella Coola,Critically endangered,50,52.3823,-126.7255,1,Canada
Budong-Budong,Critically endangered,50,-2.0601,119.3074,1,Indonesia
Bulgebi,Definitely endangered,50,-5.7485,146.4532,1,Papua New Guinea
Chiquitano (Brazil),Critically endangered,50,-17.4345,-58.0627,1,Brazil
Forest Yukagir,Critically endangered,50,65.4936,151.0757,1,Russian Federation
Gorovu,Severely endangered,50,-4.5,144.6,1,Papua New Guinea
Karaim (Lithuania),Severely endangered,50,54.642,24.9499,1,Lithuania
Kasong,Critically endangered,50,12.564,102.529,2,"Cambodia, Thailand"
Kayupulau,Critically endangered,50,-2.5464,140.725,1,Indonesia
Lolak,Critically endangered,50,0.8569,124.0081,1,Indonesia
Maku'a,Critically endangered,50,-8.4017,127.2271,1,Timor-Leste
Makurap,Severely endangered,50,-12.1682,-63.0285,1,Brazil
Miriwoong,Critically endangered,50,-16.7631,128.9025,1,Australia
Moraori,Severely endangered,50,-8.7113,140.7128,1,Indonesia
Nakkara,Severely endangered,50,-12.1145,134.5825,1,Australia
Ngarinman,Severely endangered,50,-16.6782,129.7485,1,Australia
Norfolk-Pitcairn (Pitcairn),Vulnerable,50,-24.3721,-128.3203,1,Pitcairn  (U.K.)
Omaha-Ponca,Critically endangered,50,42.0817,-96.4855,1,United States of America
Omotik,Critically endangered,50,-1.115,35.9143,1,Kenya
Onge,Critically endangered,50,10.639,92.4938,1,India
Patua,Critically endangered,50,22.1632,113.5464,1,China
Paulohi,Critically endangered,50,-3.2721,128.757,1,Indonesia
Potawatomi (Kansas),Critically endangered,50,39.3251,-95.8495,1,United States of America
Potawatomi (Michigan),Critically endangered,50,45.0269,-84.1992,1,United States of America
Potawatomi (Oklahoma),Critically endangered,50,35.3135,-96.9255,1,United States of America
Potawatomi (Wisconsin),Critically endangered,50,45.5601,-88.83,1,United States of America
Salas,Severely endangered,50,-3.135,130.5505,1,Indonesia
Samray,Critically endangered,50,13.685,101.5931,2,"Cambodia, Thailand"
Sapé,Critically endangered,50,5.0033,-63.5449,1,Venezuela (Bolivarian Republic of)
Sentilese,Critically endangered,50,11.5446,92.2576,1,India
Sian,Severely endangered,50,2.3854,114.3354,1,Malaysia
Tambotalo,Severely endangered,50,-15.4655,167.1027,1,Vanuatu
Tanacross,Critically endangered,50,64.2159,-145.9643,1,United States of America
Tanaina,Severely endangered,50,63.3422,-148.8647,1,United States of America
Tanimbili,Severely endangered,50,-11.2935,166.5211,1,Solomon Islands
Warumungu,Severely endangered,50,-19.5183,133.9453,1,Australia
Zapotec of San Felipe Tejalapan,Critically endangered,50,17.1099,-96.8539,1,Mexico
Tench,Critically endangered,49,-1.6394,150.6939,1,Papua New Guinea
Mudburra,Severely endangered,48,-16.9727,131.77,1,Australia
Nunggubuyu,Severely endangered,44,-13.8807,135.725,1,Australia
Dumun,Critically endangered,42,-5.5421,146.0906,1,Papua New Guinea
Kudu-Camo,Critically endangered,42,11.0166,8.8879,1,Nigeria
Asumboa,Severely endangered,40,-11.2982,166.4868,1,Solomon Islands
Bunuba,Severely endangered,40,-17.8951,125.7495,1,Australia
Chamacoco,Critically endangered,40,-23.0595,-55.6127,2,"Brazil, Paraguay"
Garrwa,Severely endangered,40,-17.1197,137.6806,1,Australia
Gumbaynggirr,Critically endangered,40,-30.3349,152.8198,1,Australia
Maremgi,Definitely endangered,40,-2.2571,139.5455,1,Indonesia
Mono (Western),Critically endangered,40,37.0943,-119.4999,1,United States of America
Southern Tutchone,Critically endangered,40,60.7796,-137.4983,1,Canada
Tipai (United States of America),Severely endangered,40,32.6049,-116.4678,1,United States of America
Tofa,Critically endangered,40,53.7324,98.2589,1,Russian Federation
Udege,Critically endangered,40,47.6209,136.0903,1,Russian Federation
Yoki,Severely endangered,40,-1.5893,137.9127,1,Indonesia
Noy,Critically endangered,36,8.9312,17.8829,1,Chad
Chulym Turk,Critically endangered,35,57.3354,88.1542,1,Russian Federation
Kapori,Critically endangered,35,-3.4,139.7,1,Indonesia
Menominee,Critically endangered,35,44.9356,-88.6144,1,United States of America
Quechua of Pacaraos,Critically endangered,35,-11.2538,-76.8054,1,Peru
Turaka,Critically endangered,35,-9.796,149.447,1,Papua New Guinea
Barasana (Brazil),Severely endangered,34,0.7909,-68.6425,1,Brazil
Bilakura,Critically endangered,34,-4.9404,145.5303,1,Papua New Guinea
Macuna (Brazil),Vulnerable,32,1.1395,-67.7636,1,Brazil
Jarawa,Critically endangered,31,12.6028,92.752,1,India
Kowaki,Critically endangered,31,-4.6079,145.4067,1,Papua New Guinea
Mawak,Critically endangered,31,-4.5819,145.3079,1,Papua New Guinea
Alabat Island Agta,Critically endangered,30,14.1209,122.0282,1,Philippines
Amahai,Critically endangered,30,-3.3352,128.9314,1,Indonesia
Bardi,Severely endangered,30,-16.9307,122.871,1,Australia
